ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
38866,0,-65,100,11,0,66,-2,1
38867,0,-65,100,11,0,66,2,1
38868,0,-64,100,11,0,66,1,1
38869,0,-72,100,11,0,21,19,1
38870,0,-73,100,12,0,21,4,1
38871,0,-72,100,10,0,21,2,1
38872,0,-73,100,11,0,21,1,1
38873,0,-64,100,11,0,57,0,1
38874,0,-64,100,10,0,57,-1,1
38875,0,-64,100,11,0,57,-1,1
38876,0,-65,100,11,0,57,-3,1
38877,0,-68,100,11,0,43,-2,1
38878,0,-67,100,10,0,43,-2,1
38879,0,-68,100,10,0,43,0,1
38880,0,-68,100,10,0,43,2,1
38881,0,-67,100,11,0,49,2,1
38882,0,-67,100,12,0,49,20,1
38883,0,-67,100,11,0,49,2,1
38884,0,-68,100,12,0,49,3,1
38885,0,-67,100,10,0,30,3,1
38886,0,-67,100,11,0,30,-3,1
38887,0,-67,100,11,0,30,0,1
38888,0,-68,100,10,0,30,-3,1
38889,0,-71,100,10,0,7,0,1
38890,0,-70,100,10,0,7,-1,1
38891,0,-71,100,11,0,7,0,1
38892,0,-71,100,10,0,7,0,1
38893,0,-70,100,11,0,33,1,1
38894,0,-71,100,12,0,33,19,1
38895,0,-71,100,10,0,33,-1,1
38896,0,-72,100,11,0,33,-3,1
38897,0,-73,100,11,0,26,-1,1
38898,0,-74,100,11,0,26,-3,1
38899,0,-75,100,11,0,26,-3,1
38900,0,-77,100,11,0,26,-4,1
38901,0,-71,100,10,0,12,-8,1
38902,0,-71,100,11,0,12,-4,1
38903,0,-71,100,11,0,12,-3,1
38904,0,-71,100,11,0,12,-2,1
38905,0,-71,100,11,0,9,-4,1
38906,0,-71,100,11,0,9,-2,1
38907,0,-72,100,10,0,9,16,1
38908,0,-72,100,10,0,9,0,1
38909,0,-67,100,11,0,55,-3,1
38910,0,-68,100,10,0,55,-2,1
38911,0,-69,100,11,0,55,0,1
38912,0,-69,100,11,0,55,2,1
38913,0,-78,100,11,0,29,1,1
38914,0,-78,100,10,0,29,1,1
38915,0,-78,100,10,0,29,1,1
38916,0,-78,100,11,0,29,1,1
