File 1,File 2,Lines Matched
../mysql-files/source/1015/002566788bcdeff (39%),../mysql-files/source/1015/22223469abccdef (26%),7
../mysql-files/source/1015/0013778999bcf (47%),../mysql-files/source/1015/001224678bbbcee (50%),5
../mysql-files/source/1015/0013778999bcf (47%),../mysql-files/source/1015/0111455678aeff (50%),5
../mysql-files/source/1015/00033335669cff (44%),../mysql-files/source/1015/134458899abcdff (49%),5
../mysql-files/source/1015/189aaaacddef (49%),../mysql-files/source/1015/134458899abcdff (49%),5
../mysql-files/source/1015/112477abcddef (35%),../mysql-files/source/1015/01223689aadddef (40%),11
../mysql-files/source/1015/0114566bbeff (48%),../mysql-files/source/1015/11223355bbccddd (38%),8
../mysql-files/source/1015/0114566bbeff (48%),../mysql-files/source/1015/134458899abcdff (49%),9
../mysql-files/source/1015/1245557889c (47%),../mysql-files/source/1015/001224678bbbcee (50%),4
../mysql-files/source/1015/1245557889c (47%),../mysql-files/source/1015/0111455678aeff (50%),4
../mysql-files/source/1015/223444579ddddef (39%),../mysql-files/source/1015/1125799ccdeef (49%),3
../mysql-files/source/1015/223444579ddddef (39%),../mysql-files/source/1015/02356789aacde (48%),3
../mysql-files/source/1015/223444579ddddef (39%),../mysql-files/source/1015/0023388abbdef (49%),3
../mysql-files/source/1015/0146899bbcde (38%),../mysql-files/source/1015/0133467889aabcddee (36%),10
../mysql-files/source/1015/0055abbbccccde (44%),../mysql-files/source/1015/223444579ddddef (39%),3
../mysql-files/source/1015/001223447ddff (45%),../mysql-files/source/1015/0013778999bcf (47%),3
../mysql-files/source/1015/13333789adefff (30%),../mysql-files/source/1015/0114566bbeff (48%),7
../mysql-files/source/1015/0023348aaccdee (39%),../mysql-files/source/1015/1234468899accde (50%),12
../mysql-files/source/1015/0133788bbceff (26%),../mysql-files/source/1015/0111446678a (39%),4
../mysql-files/source/1015/02333457aae (46%),../mysql-files/source/1015/223444579ddddef (39%),3
../mysql-files/source/1015/02346789abccf (39%),../mysql-files/source/1015/0113477777acceeff (39%),7
../mysql-files/source/1015/02346789abccf (39%),../mysql-files/source/1015/22223469abccdef (25%),7
